<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.26	01:30:00	484849.67	487702.33	484152.57	487701.35	1800	0	5490
2022.03.26	02:00:00	487684.52	490715.25	487447.30	489914.16	1800	0	5490
2022.03.26	02:30:00	489940.40	490607.07	486524.08	486998.46	1799	0	5490
2022.03.26	03:00:00	486992.25	488434.22	486265.33	486274.70	1800	0	5490
2022.03.26	03:30:00	486265.62	487611.51	485102.03	487507.42	1800	0	5490
2022.03.26	04:00:00	487459.25	487459.25	484780.70	486206.75	1800	0	5490
2022.03.26	04:30:00	486205.12	487415.44	484427.18	485238.63	1799	0	5490
2022.03.26	05:00:00	485272.79	487046.85	484266.00	484838.45	1800	0	5490
2022.03.26	05:30:00	484769.20	486017.87	484011.30	484750.41	1800	0	5490
2022.03.26	06:00:00	484740.60	485765.10	481656.52	483358.84	1800	0	5490
2022.03.26	06:30:00	483355.77	483599.28	481242.12	481495.04	1799	0	5490
2022.03.26	07:00:00	481482.74	483293.95	480323.87	482702.72	1800	0	5490
2022.03.26	07:30:00	482667.64	483272.64	480987.10	482568.63	1800	0	5490
2022.03.26	08:00:00	482603.86	484949.20	482559.57	484844.83	1800	0	5490
2022.03.26	08:30:00	484807.64	486213.37	483722.56	485242.87	1800	0	5490
2022.03.26	09:00:00	485340.80	485725.77	484452.77	484837.88	1800	0	5490
2022.03.26	09:30:00	484782.58	487020.83	484037.55	486417.82	1800	0	5490
2022.03.26	10:00:00	486417.80	488419.15	485691.46	487021.51	1800	0	5490
2022.03.26	10:30:00	486946.43	488160.89	485965.13	487086.86	1800	0	5490
2022.03.26	11:00:00	487060.97	487416.44	485156.29	486669.02	1800	0	5490
2022.03.26	11:30:00	486628.56	488800.57	486012.12	486012.12	1800	0	5490
2022.03.26	12:00:00	486009.12	486239.24	484090.27	484924.22	1800	0	5490
2022.03.26	12:30:00	484943.81	486807.16	484319.75	485741.64	1800	0	5490
2022.03.26	13:00:00	485659.37	486066.14	483608.63	484556.21	1799	0	5490
2022.03.26	13:30:00	484578.62	489116.82	483654.57	489100.16	1800	0	5490
2022.03.26	14:00:00	489111.71	489621.68	487593.45	488476.33	1800	0	5490
2022.03.26	14:30:00	488422.35	489387.21	486503.26	487293.06	1800	0	5490
2022.03.26	15:00:00	487240.36	488466.46	485847.13	486357.03	1800	0	5490
2022.03.26	15:30:00	486331.04	489443.99	485955.22	488931.88	1800	0	5490
2022.03.26	16:00:00	488886.25	490165.11	487667.70	488023.97	1799	0	5490
2022.03.26	16:30:00	488036.51	489019.34	486790.20	488685.77	1800	0	5490
2022.03.26	17:00:00	488613.00	490568.06	487774.85	489503.52	1800	0	5490
2022.03.26	17:30:00	489482.75	491042.94	488616.01	490941.11	1800	0	5490
2022.03.26	18:00:00	490980.65	493133.43	489679.28	493133.43	1800	0	5490
2022.03.26	18:30:00	493102.20	494307.62	491809.52	492736.57	1800	0	5490
2022.03.26	19:00:00	492727.04	493459.27	490892.09	491826.77	1800	0	5490
2022.03.26	19:30:00	491788.55	492725.72	490227.46	490414.34	1800	0	5490
2022.03.26	20:00:00	490459.61	490556.19	487844.06	487954.88	1800	0	5490
2022.03.26	20:30:00	487973.11	489411.61	487338.41	487903.63	1800	0	5490
2022.03.26	21:00:00	487807.37	490213.64	487759.74	490083.81	1800	0	5490
2022.03.26	21:30:00	490097.54	490105.77	486820.86	487164.47	1800	0	5490
2022.03.26	22:00:00	487104.63	488182.37	484030.46	484587.52	1800	0	5490
2022.03.26	22:30:00	484634.46	486718.88	483490.64	486533.54	1800	0	5490
2022.03.26	23:00:00	486514.67	488264.60	484525.36	486501.79	1800	0	5490
2022.03.26	23:30:00	486605.58	487102.61	484438.08	485045.01	1800	0	5490
2022.03.27	00:00:00	485143.82	485502.71	482041.43	482777.40	1800	0	5490
2022.03.27	00:30:00	482845.87	483151.30	480896.44	481157.60	1800	0	5490
2022.03.27	01:00:00	481186.58	481392.76	478951.33	480456.76	1800	0	5490
2022.03.27	01:30:00	480461.19	482694.38	479518.15	481782.09	1800	0	5490
2022.03.27	02:00:00	481727.95	483413.92	481061.72	482734.26	1800	0	5490
2022.03.27	02:30:00	482731.96	482804.11	479383.35	480002.59	1800	0	5490
2022.03.27	03:00:00	480038.89	480967.86	477822.86	478936.97	1800	0	5490
2022.03.27	03:30:00	479009.78	479852.51	477669.49	478012.73	1800	0	5490
2022.03.27	04:00:00	478095.56	479261.88	475876.90	476200.95	1800	0	5490
2022.03.27	04:30:00	476129.81	479752.33	475693.54	479296.54	1800	0	5490
2022.03.27	05:00:00	479335.42	481938.50	479203.50	481722.75	1800	0	5490
2022.03.27	05:30:00	481658.04	481724.74	477783.19	478162.99	1800	0	5490
2022.03.27	06:00:00	478186.72	478418.65	476826.73	477443.93	1800	0	5490
2022.03.27	06:30:00	477500.14	481917.82	477500.14	479790.58	1800	0	5490
2022.03.27	07:00:00	479730.06	481728.28	477885.40	480852.09	1800	0	5490
2022.03.27	07:30:00	480878.00	482384.04	479711.81	481998.93	1800	0	5490
2022.03.27	08:00:00	481957.13	483209.46	481083.63	482449.93	1800	0	5490
2022.03.27	08:30:00	482495.58	482586.64	478558.78	479807.61	1800	0	5490
2022.03.27	09:00:00	479807.20	479843.14	477209.96	477731.24	1800	0	5490
2022.03.27	09:30:00	477743.31	479375.84	477416.99	478692.64	1800	0	5490
2022.03.27	10:00:00	478738.24	481501.50	477855.41	481117.67	1800	0	5490
2022.03.27	10:30:00	481135.94	482985.61	479585.72	479714.97	1800	0	5490
2022.03.27	11:00:00	479772.63	481206.00	479193.87	479900.59	1800	0	5490
2022.03.27	11:30:00	479897.33	480248.07	476141.63	476640.12	1800	0	5490
2022.03.27	12:00:00	476585.45	476924.30	474928.52	476350.32	1800	0	5490
2022.03.27	12:30:00	476384.58	476653.58	474168.22	474628.88	1800	0	5490
2022.03.27	13:00:00	474587.92	478901.61	474079.64	478588.71	1800	0	5490
2022.03.27	13:30:00	478643.70	479522.97	475795.83	476843.02	1800	0	5490
2022.03.27	14:00:00	476793.10	476877.01	474513.58	474811.92	1800	0	5490
2022.03.27	14:30:00	474817.86	475785.26	472575.34	473330.00	1800	0	5490
2022.03.27	15:00:00	473298.90	474094.87	470527.88	471868.18	1800	0	5490
2022.03.27	15:30:00	471865.51	473585.75	471339.87	473211.65	1799	0	5490
2022.03.27	16:00:00	473250.43	474206.10	472272.17	473089.34	1800	0	5490
2022.03.27	16:30:00	473100.66	474452.10	472506.31	473396.64	1799	0	5490
2022.03.27	17:00:00	473457.41	473592.89	470083.97	470215.70	1800	0	5490
2022.03.27	17:30:00	470185.23	472188.65	470013.55	472151.30	1800	0	5490
2022.03.27	18:00:00	472124.29	472965.68	471422.02	471824.44	1800	0	5490
2022.03.27	18:30:00	471816.74	472524.94	468924.58	469390.89	1800	0	5490
2022.03.27	19:00:00	469460.98	471512.16	468228.43	468368.30	1799	0	5490
2022.03.27	19:30:00	468401.11	468434.97	465900.40	467975.26	1800	0	5490
2022.03.27	20:00:00	467985.67	470600.98	467911.59	469702.76	1800	0	5490
2022.03.27	20:30:00	469712.31	470356.83	467825.50	468615.31	1800	0	5490
2022.03.27	21:00:00	468685.69	469225.63	466999.44	467246.95	1800	0	5490
2022.03.27	21:30:00	467246.50	468256.38	464623.56	465977.05	1800	0	5490
2022.03.27	22:00:00	466035.53	467536.51	465549.46	466650.27	1800	0	5490
2022.03.27	22:30:00	466697.85	467602.31	465500.09	467199.84	1799	0	5490
2022.03.27	23:00:00	467228.29	469364.30	467010.66	467274.77	1800	0	5490
2022.03.27	23:30:00	467322.96	467835.99	463290.42	464198.11	1800	0	5490
2022.03.28	00:00:00	464226.18	466439.11	463008.23	466256.77	1800	0	5490
2022.03.28	00:30:00	466262.14	467718.26	464843.25	465306.90	1800	0	5490
2022.03.28	01:00:00	465311.71	465935.14	463609.15	464190.19	1800	0	5490
2022.03.28	01:30:00	464137.54	465555.67	463509.31	465408.17	1800	0	5490
2022.03.28	02:00:00	465422.65	466290.95	464354.63	464858.69	1800	0	5490
2022.03.28	02:30:00	464888.24	465704.89	463573.29	465387.36	1800	0	5490
2022.03.28	03:00:00	465400.96	468553.23	464063.49	466631.51	1800	0	5490
2022.03.28	03:30:00	466665.39	468201.71	465864.16	467582.81	1800	0	5490
2022.03.28	04:00:00	467584.57	469673.41	466796.04	468284.18	1800	0	5490
2022.03.28	04:30:00	468240.20	468261.93	464584.28	464708.91	1800	0	5490
2022.03.28	05:00:00	464697.15	465078.87	462430.05	462800.21	1800	0	5490
2022.03.28	05:30:00	462817.30	465360.32	462487.53	464075.49	1800	0	5490
2022.03.28	06:00:00	464118.20	464576.22	461249.49	461999.99	1800	0	5490
2022.03.28	06:30:00	461932.68	461990.38	459153.90	460997.65	1800	0	5490
2022.03.28	07:00:00	461028.19	462804.44	458061.14	458378.79	1800	0	5490
2022.03.28	07:30:00	458435.06	458728.91	454544.10	455231.27	1800	0	5490
2022.03.28	08:00:00	455236.20	455369.66	453025.27	453965.87	1800	0	5490
2022.03.28	08:30:00	453919.71	455262.76	452323.18	452712.95	1800	0	5490
2022.03.28	09:00:00	452592.75	454067.85	452226.31	453703.12	1799	0	5490
2022.03.28	09:30:00	453685.70	455171.11	452419.51	453294.34	1800	0	5490
2022.03.28	10:00:00	453301.03	454287.17	451105.21	454093.64	1799	0	5490
2022.03.28	10:30:00	454201.27	455124.58	452771.33	454182.21	1800	0	5490
2022.03.28	11:00:00	454108.46	454814.97	451806.05	452731.23	1800	0	5490
2022.03.28	11:30:00	452729.57	453748.30	451599.60	451960.56	1800	0	5490
2022.03.28	12:00:00	451991.98	454901.42	451448.58	453032.97	1799	0	5490
2022.03.28	12:30:00	453084.17	454564.58	451926.17	453322.54	1800	0	5490
2022.03.28	13:00:00	453345.91	454729.75	452560.36	453569.14	1799	0	5490
2022.03.28	13:30:00	453613.08	454683.97	452708.65	454146.12	1800	0	5490
2022.03.28	14:00:00	454112.71	454904.63	453123.14	454317.81	1800	0	5490
2022.03.28	14:30:00	454299.89	454346.92	450600.98	451648.22	1800	0	5490
2022.03.28	15:00:00	451671.36	451671.36	449791.18	450719.06	1800	0	5490
2022.03.28	15:30:00	450680.86	452345.10	448981.35	449504.55	1800	0	5490
2022.03.28	16:00:00	449562.50	451533.49	449157.81	451387.11	1800	0	5490
2022.03.28	16:30:00	451369.12	455570.55	450769.99	455437.15	1800	0	5490
2022.03.28	17:00:00	455384.16	457925.52	455154.77	457841.14	1800	0	5490
2022.03.28	17:30:00	457806.16	459234.76	456433.67	457306.88	1800	0	5490
2022.03.28	18:00:00	457300.11	457900.82	455518.09	457463.54	1800	0	5490
2022.03.28	18:30:00	457397.99	458649.58	456659.17	457312.35	1800	0	5490
2022.03.28	19:00:00	457209.67	459529.19	456808.48	458874.54	1800	0	5490
2022.03.28	19:30:00	458819.12	461499.66	458144.30	460764.60	1800	0	5490
2022.03.28	20:00:00	460849.20	461663.28	459735.16	460034.56	1800	0	5490
2022.03.28	20:30:00	460011.92	460563.14	458608.67	460476.98	1800	0	5490
2022.03.28	21:00:00	460448.28	460699.41	458493.44	458815.49	1800	0	5490
2022.03.28	21:30:00	458826.51	460702.20	458576.53	460280.25	1800	0	5490
2022.03.28	22:00:00	460174.79	463019.07	457805.37	461941.61	1800	0	5490
2022.03.28	22:30:00	461933.22	462461.67	460388.55	462129.91	1800	0	5490
2022.03.28	23:00:00	462156.41	462777.94	460362.83	461057.53	1800	0	5490
2022.03.28	23:30:00	461042.22	461761.45	458585.20	458585.20	1799	0	5490
2022.03.29	00:00:00	458647.37	462213.14	458524.20	461989.21	1799	0	5490
2022.03.29	00:30:00	461987.42	464722.61	461113.00	464300.53	1800	0	5490
2022.03.29	01:00:00	464337.00	467519.83	464044.69	466292.28	1800	0	5490
2022.03.29	01:30:00	466222.01	466950.24	464518.48	465202.89	1799	0	5490
2022.03.29	02:00:00	465170.58	466616.04	463912.71	464736.10	1800	0	5490
2022.03.29	02:30:00	464775.28	467042.12	464102.49	465981.22	1800	0	5490
2022.03.29	03:00:00	465999.81	468483.88	465407.40	467475.59	1799	0	5490
2022.03.29	03:30:00	467441.49	467532.86	465360.28	466257.65	1800	0	5490
2022.03.29	04:00:00	466269.04	468055.98	465929.20	467403.42	1800	0	5490
2022.03.29	04:30:00	467406.60	470535.49	466650.46	469157.30	1800	0	5490
2022.03.29	05:00:00	469134.80	470545.24	465766.81	465866.65	1800	0	5490
2022.03.29	05:30:00	465891.67	467716.38	465378.39	465685.63	1800	0	5490
2022.03.29	06:00:00	465725.10	467092.18	464868.79	466208.73	1800	0	5490
2022.03.29	06:30:00	466131.69	466680.59	463912.88	465688.76	1800	0	5490
2022.03.29	07:00:00	465707.62	467247.88	464384.59	466114.09	1800	0	5490
2022.03.29	07:30:00	466119.71	467171.47	465149.12	465988.72	1800	0	5490
2022.03.29	08:00:00	465968.09	466738.58	465407.94	466041.11	1799	0	5490
2022.03.29	08:30:00	466071.61	467946.32	465333.49	467678.12	1800	0	5490
2022.03.29	09:00:00	467683.48	469098.37	466702.96	468802.06	1800	0	5490
2022.03.29	09:30:00	468838.60	468999.72	464646.89	464776.18	1800	0	5490
2022.03.29	10:00:00	464742.98	464979.17	461777.71	461823.71	1800	0	5490
2022.03.29	10:30:00	461848.37	462899.94	460040.66	460089.70	1800	0	5490
2022.03.29	11:00:00	460071.96	460516.76	458375.99	460056.95	1799	0	5490
2022.03.29	11:30:00	460045.40	461996.58	459964.74	461795.16	1799	0	5490
2022.03.29	12:00:00	461726.18	465403.58	461698.55	463395.82	1800	0	5490
2022.03.29	12:30:00	463435.92	463939.42	461079.47	461530.44	1800	0	5490
2022.03.29	13:00:00	461586.32	463742.96	460907.80	462021.19	1800	0	5490
2022.03.29	13:30:00	462024.32	462289.48	458112.93	458217.92	1800	0	5490
2022.03.29	14:00:00	458191.09	460068.91	457750.05	459313.14	1800	0	5490
2022.03.29	14:30:00	459300.19	461922.47	459077.71	461749.14	1800	0	5490
2022.03.29	15:00:00	461748.57	464207.84	461382.88	463371.28	1800	0	5490
2022.03.29	15:30:00	463395.45	464895.81	461976.85	462709.95	1800	0	5490
2022.03.29	16:00:00	462654.75	465295.65	462313.10	463935.02	1800	0	5490
2022.03.29	16:30:00	463879.51	467199.55	463663.60	465963.77	1800	0	5490
2022.03.29	17:00:00	465991.12	465991.12	463616.89	465499.16	1800	0	5490
2022.03.29	17:30:00	465446.33	466873.83	463758.42	465923.27	1799	0	5490
2022.03.29	18:00:00	466004.46	469391.08	466004.46	468519.41	1800	0	5490
2022.03.29	18:30:00	468488.02	469094.06	466538.11	468343.64	1800	0	5490
2022.03.29	19:00:00	468388.39	468969.86	466004.38	467552.98	1800	0	5490
2022.03.29	19:30:00	467561.51	471903.59	467478.20	471520.27	1800	0	5490
2022.03.29	20:00:00	471572.44	472509.16	469572.64	470092.13	1799	0	5490
2022.03.29	20:30:00	470037.01	470067.20	466025.24	466792.86	1799	0	5490
2022.03.29	21:00:00	466789.30	466789.30	463566.99	464509.00	1800	0	5490
2022.03.29	21:30:00	464554.51	465984.35	464335.24	464537.17	1800	0	5490
2022.03.29	22:00:00	464566.81	465006.30	461067.71	463053.94	1800	0	5490
2022.03.29	22:30:00	463084.02	464840.93	462800.03	464425.76	1800	0	5490
2022.03.29	23:00:00	464422.24	465377.87	462592.27	464567.47	1800	0	5490
2022.03.29	23:30:00	464551.34	466211.91	463781.30	464840.26	1800	0	5490
2022.03.30	00:00:00	464862.08	465603.23	464057.58	464788.51	1799	0	5490
2022.03.30	00:30:00	464803.39	465067.05	461660.66	462927.02	1800	0	5490
2022.03.30	01:00:00	462889.67	463619.21	460990.86	462541.64	1800	0	5490
2022.03.30	01:30:00	462582.78	463922.48	461208.03	461565.77	1799	0	5490
2022.03.30	02:00:00	461558.31	462048.28	459960.11	460546.66	1800	0	5490
2022.03.30	02:30:00	460595.42	461687.53	457742.29	458111.35	1798	0	5490
2022.03.30	03:00:00	458078.62	461297.18	457999.05	461297.18	1800	0	5490
2022.03.30	03:30:00	461345.89	463277.84	461345.89	462400.89	1799	0	5490
2022.03.30	04:00:00	462414.98	463000.85	458550.06	459558.03	1800	0	5490
2022.03.30	04:30:00	459618.66	461878.59	459361.06	461772.75	1800	0	5490
2022.03.30	05:00:00	461747.68	461753.63	459179.93	460321.76	1800	0	5490
2022.03.30	05:30:00	460324.28	460949.10	458566.53	459609.55	1800	0	5490
2022.03.30	06:00:00	459569.37	460263.84	455239.53	455451.61	1800	0	5490
2022.03.30	06:30:00	455448.97	455535.23	452118.62	453114.56	1800	0	5490
2022.03.30	07:00:00	453088.70	457084.66	452471.35	456690.59	1800	0	5490
2022.03.30	07:30:00	456646.09	458110.38	456012.42	456089.98	1800	0	5490
2022.03.30	08:00:00	456054.60	457537.26	455766.97	457375.79	1799	0	5490
2022.03.30	08:30:00	457409.69	457704.12	453472.05	453490.73	1800	0	5490
2022.03.30	09:00:00	453495.19	455272.41	452450.87	454862.15	1800	0	5490
2022.03.30	09:30:00	454808.17	454808.17	451498.31	452856.86	1800	0	5490
2022.03.30	10:00:00	452874.44	456880.04	452724.49	456712.93	1800	0	5490
2022.03.30	10:30:00	456654.51	456983.88	454094.96	454649.54	1800	0	5490
2022.03.30	11:00:00	454675.14	455464.76	452950.68	453886.01	1800	0	5490
2022.03.30	11:30:00	453932.47	454712.12	452252.02	452372.08	1800	0	5490
2022.03.30	12:00:00	452334.16	454703.98	452334.16	453551.49	1800	0	5490
2022.03.30	12:30:00	453649.43	455807.03	452603.74	452777.88	1800	0	5490
2022.03.30	13:00:00	452808.23	454503.25	451408.52	453742.17	1800	0	5490
2022.03.30	13:30:00	453838.38	455793.19	453531.94	453583.97	1800	0	5490
2022.03.30	14:00:00	453628.94	454677.17	451248.50	452652.36	1800	0	5490
2022.03.30	14:30:00	452667.08	454103.21	452115.98	454092.62	1800	0	5490
2022.03.30	15:00:00	454000.39	456570.52	453869.46	456201.02	1800	0	5490
2022.03.30	15:30:00	456168.08	458137.33	455846.69	457924.87	1800	0	5490
2022.03.30	16:00:00	458015.71	462141.70	457898.60	460569.23	1800	0	5490
2022.03.30	16:30:00	460491.04	460734.00	459171.44	459352.27	1800	0	5490
2022.03.30	17:00:00	459364.87	459808.82	456762.82	457523.94	1799	0	5490
2022.03.30	17:30:00	457488.91	459171.09	456894.04	457154.20	1799	0	5490
2022.03.30	18:00:00	457274.35	459280.07	456232.61	459280.07	1800	0	5490
2022.03.30	18:30:00	459240.20	461385.01	459155.24	460238.01	1800	0	5490
2022.03.30	19:00:00	460235.66	462425.00	459373.97	459800.96	1799	0	5490
2022.03.30	19:30:00	459774.22	462617.79	459317.54	459581.73	1800	0	5490
2022.03.30	20:00:00	459486.13	459820.49	457139.61	458456.15	1799	0	5490
2022.03.30	20:30:00	458443.19	460599.78	457803.57	460489.90	1800	0	5490
2022.03.30	21:00:00	460559.28	462418.28	459740.21	462267.45	1800	0	5490
2022.03.30	21:30:00	462228.72	462258.75	460298.26	461346.15	1800	0	5490
2022.03.30	22:00:00	461396.45	463430.86	461320.18	463208.61	1800	0	5490
2022.03.30	22:30:00	463203.29	464963.44	462427.84	464375.69	1799	0	5490
2022.03.30	23:00:00	464379.23	466164.11	464095.37	465506.32	1799	0	5490
2022.03.30	23:30:00	465552.31	468309.81	465451.38	468012.34	1800	0	5490
2022.03.31	00:00:00	468045.93	468187.53	465778.16	466329.84	1800	0	5490
2022.03.31	00:30:00	466293.60	468530.69	465701.81	468066.37	1799	0	5490
2022.03.31	01:00:00	468055.76	469869.64	467556.58	467709.19	1800	0	5490
2022.03.31	01:30:00	467738.31	470047.63	467574.98	468212.26	1800	0	5490
2022.03.31	02:00:00	468173.59	471194.46	466432.82	469976.31	1800	0	5490
2022.03.31	02:30:00	469943.50	470166.29	467694.00	469209.76	1800	0	5490
2022.03.31	03:00:00	469179.33	469465.31	467494.59	468552.15	1800	0	5490
2022.03.31	03:30:00	468618.54	471228.71	468390.86	470355.06	1800	0	5490
2022.03.31	04:00:00	470321.53	471712.10	469343.00	470304.23	1800	0	5490
2022.03.31	04:30:00	470336.44	472042.95	470011.67	470985.93	1800	0	5490
2022.03.31	05:00:00	471015.14	472812.15	470462.85	472590.36	1799	0	5490
2022.03.31	05:30:00	472578.32	473876.58	471632.93	472056.57	1800	0	5490
2022.03.31	06:00:00	472058.21	473140.12	470196.88	472515.39	1800	0	5490
2022.03.31	06:30:00	472575.09	473950.27	471820.69	471932.90	1800	0	5490
2022.03.31	07:00:00	471931.67	472073.68	469349.16	471430.17	1800	0	5354
2022.03.31	07:30:00	471403.64	472079.47	470153.15	471249.05	1800	0	5354
2022.03.31	08:00:00	471292.39	471540.55	467934.48	469234.66	1800	0	5354
2022.03.31	08:30:00	469208.06	470442.18	468420.41	469422.28	1800	0	5354
2022.03.31	09:00:00	469412.43	470354.25	467073.63	467411.48	1800	0	5354
2022.03.31	09:30:00	467417.00	467877.46	465739.64	466436.92	1798	0	5354
2022.03.31	10:00:00	466394.63	466394.63	463466.90	464687.12	1800	0	5354
2022.03.31	10:30:00	464648.77	467755.50	464540.34	467674.13	1800	0	5354
2022.03.31	11:00:00	467705.84	467828.76	465606.93	466634.27	1800	0	5354
2022.03.31	11:30:00	466680.64	468771.30	466093.73	468235.53	1800	0	5354
2022.03.31	12:00:00	468177.05	470506.02	467194.11	470248.17	1799	0	5354
2022.03.31	12:30:00	470281.59	471151.07	468910.27	469048.58	1800	0	5354
2022.03.31	13:00:00	469023.96	471358.39	468454.31	470557.24	1800	0	5354
2022.03.31	13:30:00	470623.18	471730.25	469892.86	470074.13	1799	0	5354
2022.03.31	14:00:00	470070.76	470209.19	468022.84	469493.96	1799	0	5354
2022.03.31	14:30:00	469455.98	470327.83	466008.60	466056.38	1800	0	5354
2022.03.31	15:00:00	466084.23	466931.64	464835.81	465213.29	1799	0	5354
2022.03.31	15:30:00	465231.99	469216.06	464929.33	468687.46	1800	0	5354
2022.03.31	16:00:00	468644.49	471612.58	468432.77	471468.22	1800	0	5354
2022.03.31	16:30:00	471485.97	471868.42	470373.97	471175.64	1800	0	5354
2022.03.31	17:00:00	471179.48	473359.16	470811.58	471408.45	1800	0	5354
2022.03.31	17:30:00	471450.81	474799.26	471242.35	474132.82	1800	0	5354
2022.03.31	18:00:00	474159.23	477560.43	473092.61	476426.95	1800	0	5354
2022.03.31	18:30:00	476437.96	476657.60	474996.41	475258.52	1800	0	5354
2022.03.31	19:00:00	475249.44	476733.75	474548.11	476626.26	1800	0	5354
2022.03.31	19:30:00	476674.53	478683.06	475284.39	475411.25	1800	0	5354
2022.03.31	20:00:00	475423.54	476495.70	472564.88	476140.77	1800	0	5354
2022.03.31	20:30:00	476114.18	479668.77	475708.35	478401.16	1800	0	5354
2022.03.31	21:00:00	478393.06	479107.51	476913.71	478420.94	1800	0	5354
2022.03.31	21:30:00	478422.68	478888.52	475139.49	475891.90	1800	0	5354
2022.03.31	22:00:00	475896.65	476142.92	472782.56	474287.42	1800	0	5354
2022.03.31	22:30:00	474272.73	476145.37	473793.20	473944.23	1800	0	5354
2022.03.31	23:00:00	473923.27	474129.69	471062.68	472890.62	1800	0	5354
2022.03.31	23:30:00	472928.46	473329.60	469608.35	470731.79	1800	0	5354
2022.04.01	00:00:00	470750.07	470762.89	467286.26	468407.51	1800	0	5354
2022.04.01	00:30:00	468315.53	471068.45	468220.81	468732.89	1800	0	5354
